frame,t,rx,ry,rz,qx,qy,qz,qw,roll,pitch,yaw,pgz,lv_norm,av_norm,rlv_x,rlv_y,rlv_z,rav_x,rav_y,rav_z,dof_vel_max,dof_pos_err_max,tau_max,tau_sat_ratio,L_fz_norm,R_fz_norm,top_cf_name,top_cf_val,non_foot_cf_sum,bz_min,bz_min_name,L_box_bot,R_box_bot,apparent_force_norm,apparent_force_z
31,0.62,-1.0477378964424133e-09,2.85999703919515e-08,-1.5030840635299683,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,6.0822096,1.2368873e-06,-1.3513952e-08,7.161212e-08,-6.0822096,1.2192629e-06,6.4548686e-08,1.9779164e-07,9.059112926479429e-06,2.6209115731035126e-06,0.0,0.0,0.0,0.0,pelvis,0.0,0,-1.8815296,left_ankle_roll_link,-1.9015295696258545,-1.9015277814865112,160.33525,-160.33525
32,0.64,-1.280568540096283e-09,2.8614522307179868e-08,-1.6269354820251465,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,6.278411,1.3226842e-06,-1.5153057e-08,7.2777716e-08,-6.278411,1.3080368e-06,6.812492e-08,1.8409895e-07,9.312236215919256e-06,2.8052243123966036e-06,0.0,0.0,0.0,0.0,pelvis,0.0,0,-2.005381,left_ankle_roll_link,-2.0253811073303223,-2.0253791999816895,160.33525,-160.33525
33,0.66,-1.280568540096283e-09,2.8716385713778436e-08,-1.75471031665802,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,6.474612,1.4019541e-06,-1.5301985e-08,7.406524e-08,-6.474612,1.3899929e-06,6.8124805e-08,1.6957047e-07,9.458781278226525e-06,2.993068619616679e-06,0.0,0.0,0.0,0.0,pelvis,0.0,0,-2.1331558,left_ankle_roll_link,-2.1531558227539063,-2.1531541538238526,160.33525,-160.33525
34,0.68,-1.0477378964424133e-09,2.85999703919515e-08,-1.886410117149353,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,6.6708136,1.4867945e-06,-1.8356499e-08,7.525592e-08,-6.6708136,1.4746311e-06,8.183372e-08,1.7124351e-07,9.725226846057922e-06,3.1849410788709065e-06,0.0,0.0,0.0,0.0,pelvis,0.0,0,-2.2648556,left_ankle_roll_link,-2.2848556232452393,-2.2848537158966065,160.33525,-160.33525
35,0.7000000000000001,-5.820766091346741e-10,2.8760041459463537e-08,-2.02203369140625,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,6.867015,1.5492818e-06,-1.962313e-08,7.684298e-08,-6.867015,1.5369552e-06,9.137057e-08,1.7232024e-07,9.965027857106179e-06,3.3819776490418008e-06,0.0,0.0,0.0,0.0,pelvis,0.0,0,-2.400479,left_ankle_roll_link,-2.4204790782928467,-2.420477170944214,160.33525,-160.33525
36,0.72,-3.4924596548080444e-10,4.1500243241898715e-08,-2.161581039428711,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,7.063216,1.6358887e-06,-2.0964244e-08,7.8047236e-08,-7.063216,1.6258413e-06,1.0150349e-07,1.4989615e-07,1.0231473424937576e-05,3.5844748254021397e-06,0.0,0.0,0.0,0.0,pelvis,0.0,0,-2.5400264,left_ankle_roll_link,-2.5600264263153076,-2.560024518966675,160.33525,-160.33525
37,0.74,3.4924596548080444e-10,5.654692358803004e-08,-2.3050527572631836,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,7.2594175,1.6494214e-06,-1.9250516e-08,8.069755e-08,-7.2594175,1.6389041e-06,1.0401321e-07,1.5416133e-07,1.0431307600811124e-05,3.791869630731526e-06,0.0,0.0,0.0,0.0,pelvis,0.0,0,-2.6834981,left_ankle_roll_link,-2.7034981441497803,-2.7034962368011475,160.33525,-160.33525
38,0.76,1.1641532182693481e-10,5.797301128040999e-08,-2.452448606491089,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,7.455619,1.6460232e-06,-1.9101506e-08,8.350312e-08,-7.455619,1.6338373e-06,1.0758929e-07,1.685004e-07,1.07510422822088e-05,4.0040904423221946e-06,0.0,0.0,0.0,0.0,pelvis,0.0,0,-2.830894,left_ankle_roll_link,-2.8508939933776856,-2.8508920860290528,160.33525,-160.33525
39,0.78,8.149072527885437e-10,5.756555765401572e-08,-2.603766679763794,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,7.65182,1.6466707e-06,-2.0740641e-08,8.62814e-08,-7.65182,1.6321983e-06,1.2129841e-07,1.8094168e-07,1.1030810128431767e-05,4.22250923293177e-06,0.0,0.0,0.0,0.0,pelvis,0.0,0,-2.982212,left_ankle_roll_link,-3.0022120666503906,-3.002210159301758,160.33525,-160.33525
40,0.8,5.820766091346741e-10,5.771835276391357e-08,-2.759010076522827,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,7.8480215,1.6498645e-06,-2.4093392e-08,8.910951e-08,-7.8480215,1.6322359e-06,1.4633252e-07,1.909067e-07,1.1243966582696885e-05,4.445522790774703e-06,0.0,0.0,0.0,0.0,pelvis,0.0,0,-3.1374555,left_ankle_roll_link,-3.157455463409424,-3.157453556060791,160.33525,-160.33525
