frame,t,rz,pgz,lv_norm,av_norm,dof_vel_max,dof_pos_err_max,tau_max,tau_norm,top_cf_name,top_cf_val,non_foot_cf_sum,apparent_force_norm,wrote_act
71,1.42,-9.517912864685059,1.0,13.930147,3.579193e-06,1.5227327821776271e-05,1.2716102901322301e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
72,1.44,-9.79871940612793,1.0,14.126345,3.735627e-06,1.530726149212569e-05,1.3022180610278156e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
73,1.46,-10.083457946777344,1.0,14.322542,3.8718817e-06,1.526729465695098e-05,1.3327636224857997e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
74,1.48,-10.372118949890137,1.0,14.51874,4.0092614e-06,1.526729465695098e-05,1.3632993614010047e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
75,1.5,-10.664704322814941,1.0,14.714937,4.16026e-06,1.530726149212569e-05,1.393854745401768e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
76,1.52,-10.961207389831543,1.0,14.911135,4.3599875e-06,1.538719516247511e-05,1.4245425518311094e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
77,1.54,-11.261642456054688,1.0,15.107332,4.568441e-06,1.541383971925825e-05,1.4552972970705014e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
78,1.56,-11.565997123718262,1.0,15.30353,4.7896424e-06,1.5493773389607668e-05,1.4862248463032302e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
79,1.58,-11.874274253845215,1.0,15.499727,4.9876126e-06,1.5573707059957087e-05,1.517292457720032e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
80,1.6,-12.18647575378418,1.0,15.695925,5.1762004e-06,1.5653640730306506e-05,1.54855315486202e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
81,1.62,-12.50260066986084,1.0,15.892122,5.3279896e-06,1.5760218957439065e-05,1.5800202163518406e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
82,1.6400000000000001,-12.822652816772461,1.0,16.08832,5.4050556e-06,1.5706929843872786e-05,1.6115141988848336e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
83,1.6600000000000001,-13.146625518798828,1.0,16.284517,5.481009e-06,1.5680285287089646e-05,1.642901224840898e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
84,1.68,-13.474522590637207,1.0,16.480715,5.6238864e-06,1.5786863514222205e-05,1.674381383054424e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
85,1.7,-13.806344032287598,1.0,16.676912,5.74825e-06,1.5960053133312613e-05,1.7061249309335835e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
86,1.72,-14.142091751098633,1.0,16.87311,5.8695427e-06,1.617320958757773e-05,1.7382846635882743e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
87,1.74,-14.481757164001465,1.0,17.069307,5.964029e-06,1.635972148505971e-05,1.7708176528685726e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
88,1.76,-14.82534408569336,1.0,17.265505,6.09538e-06,1.6572877939324826e-05,1.8037762856693007e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
89,1.78,-15.17286205291748,1.0,17.461702,6.297253e-06,1.6786034393589944e-05,1.8371620171819814e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
90,1.8,-15.524304389953613,1.0,17.6579,6.465452e-06,1.699919084785506e-05,1.870974119810853e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
91,1.82,-15.879667282104492,1.0,17.854097,6.4607084e-06,1.707912451820448e-05,1.9050954506383277e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
92,1.84,-16.23895263671875,1.0,18.050295,6.382381e-06,1.713241363177076e-05,1.9392706235521473e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
93,1.86,-16.602169036865234,1.0,18.246492,6.2952968e-06,1.721234730212018e-05,1.973658254428301e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
94,1.8800000000000001,-16.969303131103516,1.0,18.44269,6.2744634e-06,1.7305603250861168e-05,2.0081797629245557e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
95,1.9000000000000001,-17.340362548828125,1.0,18.638887,6.2718677e-06,1.7532081983517855e-05,2.042994492512662e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
96,1.92,-17.71535301208496,1.0,18.835085,6.3279854e-06,1.7691949324216694e-05,2.0782457795576192e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
97,1.94,-18.094270706176758,1.0,19.031282,6.37166e-06,1.7785205272957683e-05,2.113759001076687e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
98,1.96,-18.47711944580078,1.0,19.22748,6.331331e-06,1.789178350009024e-05,2.149449755961541e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
99,1.98,-18.863874435424805,1.0,19.423677,6.271597e-06,1.790510577848181e-05,2.1852387362741865e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
100,2.0,-19.254552841186523,1.0,19.619875,6.2488098e-06,1.790510577848181e-05,2.2210480892681517e-05,0.0,0.0,pelvis,0.0,0,160.33214,True
